JobID,Title,job_domain,ExperienceLevel,YearsOfExperience,experience_weight,job_skill_count,skill_list
NET-F-001,.NET Developer,Software,Fresher,0.0,1.0,15,"['c#', 'vb.net basics', '.net framework', '.net core fundamentals', 'asp.net', 'mvc', 'html', 'css', 'javascript basics', 'sql server', 'entity framework basics', 'linq', 'visual studio', 'git', 'unit testing basics']"
NET-F-002,.NET Developer,Software,Fresher,0.0,1.0,10,"['c#', '.net framework basics', 'asp.net', 'razor', 'html', 'css', 'javascript basics', 'sql server', 'entity framework basics', 'nunit basics']"
NET-F-003,.NET Developer,Software,Fresher,0.0,1.0,9,"['c#', 'vb.net basics', '.net core', 'asp.net mvc', 'html', 'css', 'javascript basics', 'sql server', 'git']"
NET-F-004,.NET Developer,Software,Fresher,0.0,1.0,8,"['c#', '.net framework', 'asp.net basics', 'sql server', 'html', 'css', 'linq', 'visual studio']"
NET-F-005,.NET Developer,Software,Fresher,0.0,1.0,8,"['c#', 'asp.net', 'mvc', 'entity framework basics', 'sql server', 'html', 'css', 'javascript basics']"
NET-F-006,.NET Developer,Software,Fresher,0.0,1.0,7,"['c#', '.net framework', 'asp.net', 'razor', 'sql server', 'git', 'nunit basics']"
NET-F-007,.NET Developer,Software,Fresher,0.0,1.0,8,"['c#', 'vb.net', '.net core basics', 'asp.net mvc', 'html', 'css', 'sql server', 'visual studio']"
NET-F-008,.NET Developer,Software,Fresher,0.0,1.0,6,"['c#', '.net framework basics', 'asp.net mvc', 'entity framework basics', 'sql server', 'linq']"
NET-F-009,.NET Developer,Software,Fresher,0.0,1.0,6,"['c#', '.net framework', 'asp.net', 'html', 'css', 'sql server']"
NET-F-010,.NET Developer,Software,Fresher,0.0,1.0,6,"['c#', 'asp.net mvc', '.net core basics', 'entity framework basics', 'sql server', 'git']"
NET-E-011,.NET Developer,Software,Experienced,0.0,1.0,8,"['c#', '.net core', 'asp.net mvc', 'sql server', 'entity framework', 'rest apis', 'docker', 'azure']"
NET-E-012,.NET Developer,Software,Experienced,0.0,1.0,7,"['c#', 'asp.net core', 'sql server', 'entity framework', 'design patterns', 'solid principles', 'azure devops']"
NET-E-013,.NET Developer,Software,Experienced,0.0,1.0,8,"['c#', 'f#', '.net core', 'asp.net mvc', 'microservices', 'docker', 'kubernetes', 'azure']"
NET-E-014,.NET Developer,Software,Experienced,0.0,1.0,7,"['c#', 'asp.net core', 'webapi', 'signalr', 'sql server', 'nosql', 'entity framework']"
NET-E-015,.NET Developer,Software,Experienced,0.0,1.0,7,"['c#', '.net core', 'asp.net mvc', 'blazor', 'angular', 'sql server', 'dapper']"
NET-E-016,.NET Developer,Software,Experienced,0.0,1.0,7,"['c#', '.net core', 'asp.net mvc', 'rest apis', 'docker', 'azure devops', 'testing with nunit']"
NET-E-017,.NET Developer,Software,Experienced,0.0,1.0,6,"['c#', 'asp.net core', 'webapi', 'grpc', 'sql server', 'azure']"
NET-E-018,.NET Developer,Software,Experienced,0.0,1.0,7,"['c#', 'asp.net core', 'microservices', 'kubernetes', 'entity framework', 'azure', 'solid principles']"
NET-E-019,.NET Developer,Software,Experienced,0.0,1.0,6,"['c#', '.net core', 'asp.net mvc', 'testing with xunit', 'moq', 'azure']"
NET-E-020,.NET Developer,Software,Experienced,0.0,1.0,8,"['c#', '.net core', 'asp.net mvc', 'ci/cd', 'azure devops', 'docker', 'kubernetes', 'rest apis']"
AI001,AI Engineer - Fresher,Other,Entry-Level,0.0,1.0,20,"['python', 'java', 'c++', 'r', 'supervised/unsupervised learning', 'regression', 'classification', 'clustering', 'tensorflow', 'pytorch', 'keras', 'scikit-learn', 'neural networks', 'opencv', 'nltk', 'pandas', 'numpy', 'sql', 'mongodb', 'nosql']"
AI002,AI Engineer - Fresher,Other,Entry-Level,0.0,1.0,18,"['python', 'java', 'c++', 'r', 'classification', 'regression', 'clustering', 'tensorflow', 'pytorch', 'keras', 'scikit-learn', 'neural networks', 'opencv', 'nltk', 'pandas', 'numpy', 'sql', 'mongodb']"
AI003,AI Engineer - Fresher,Other,Entry-Level,0.0,1.0,19,"['python', 'java', 'c++', 'r', 'supervised/unsupervised learning', 'regression', 'classification', 'clustering', 'tensorflow', 'pytorch', 'keras', 'scikit-learn', 'neural networks', 'opencv', 'nltk', 'pandas', 'numpy', 'sql', 'mongodb']"
AI004,AI Engineer - Fresher,Other,Entry-Level,0.0,1.0,18,"['python', 'java', 'c++', 'r', 'classification', 'regression', 'clustering', 'tensorflow', 'pytorch', 'keras', 'scikit-learn', 'neural networks', 'opencv', 'nltk', 'pandas', 'numpy', 'sql', 'mongodb']"
AI005,AI Engineer - Fresher,Other,Entry-Level,0.0,1.0,19,"['python', 'java', 'c++', 'r', 'supervised/unsupervised learning', 'regression', 'classification', 'clustering', 'tensorflow', 'pytorch', 'keras', 'scikit-learn', 'neural networks', 'opencv', 'nltk', 'pandas', 'numpy', 'sql', 'mongodb']"
